"open","high","low","volume","average_volume_2_weeks","average_volume","high_52_weeks","dividend_yield","float","low_52_weeks","market_cap","pb_ratio","pe_ratio","shares_outstanding","ceo","headquarters_city","headquarters_state","sector","industry","num_employees","year_founded","symbol"
2387.49,2436.9699,2378.23,3186618,4503270.7,4503270.7,2525.45,NA,423268795.24,1626.0318,1197611053600,18.515,115.69,498776000,"Jeffrey P. Bezos","Seattle","Washington","Retail Trade","Internet Retail",798000,1994,"AMZN"
10.02,10.195,9.87,4665927,5576171.2,5576171.2,11.77,4.71602,1571234440.16,5.8,15744400000,3.27301,31.3713,1574440000,"Ronald Stephen Delia","Warmley","Bristol","Process Industries","Containers/Packaging",50000,2018,"AMCR"
72.01,74.37,71.78,2379828,2674489.5,2674489.5,87.655,2.79819,245462982.456,58.74,18255120540,2.16087,22.3705,246891000,"Warner L. Baxter","St. Louis","Missouri","Utilities","Electric Utilities",9323,1902,"AEE"
11.78,11.83,10.9,70811340,71868495.2,71868495.2,34.99,4.07332,416868323.355,8.25,4643387100,-1.7615,NA,422895000,"William Douglas Parker","Fort Worth","Texas","Transportation","Airlines",133700,2013,"AAL"
82.76,85.62,82.715,3289725,3836471.8,3836471.8,104.97,3.5035,495281685.536,65.135,42174113300,2.00609,21.4908,495583000,"Nicholas K. Akins","Columbus","Ohio","Utilities","Electric Utilities",17408,1906,"AEP"
101.88,102.46,98.01,9271585,7890018.9,7890018.9,138.13,1.82358,804113094.876,67,78935554320,3.61457,14.2924,804972000,"Stephen J. Squeri","New York","New York","Finance","Financial Conglomerates",64500,1850,"AXP"
32,32.04,30.82,5810297,7244909.5,7244909.5,58.66,4.1277,860706906.67,16.07,26803344800,0.447471,6.23442,861290000,"Brian Duperreault","New York","New York","Finance","Multi-Line Insurance",46000,1919,"AIG"
256.1,259.47,253.83,2190917,2231636.1,2231636.1,260.43,1.69721,441945937.192,174.32,114426144720,21.3701,57.1118,443306000,"Thomas A. Bartlett","Boston","Massachusetts","Finance","Real Estate Investment Trusts",5454,1995,"AMT"
122.07,124.59,122.07,944534,1148113.7,1148113.7,141.7,1.8221,180497309.208,92,22396165560,3.50096,34.5712,181023000,"Walter J. Lynch","Camden","New Jersey","Utilities","Water Utilities",6800,1886,"AWK"
147.6,147.695,143.07,899338,1226709.2,1226709.2,180.854,2.97058,121947111.981,80.01,17572486680,2.55966,5.18381,122337000,"James Michael Cracchiolo","Minneapolis","Minnesota","Finance","Investment Banks/Brokers",12500,1894,"AMP"
94.33,96.49,93.87,1215682,1454324.5,1454324.5,97.5,1.85063,146878526.718,72.0583,19201243200,5.14129,11.938,203403000,"Steven H. Collis","Chesterbrook","Pennsylvania","Distribution Services","Medical Distributors",22000,1947,"ABC"
92.17,93.2,91.2,1542108,1692321.1,1692321.1,102.31,0.81439,228218993.016,54.82,21080212160,3.8085,21.6867,229432000,"David A. Zapico","Berwyn","Pennsylvania","Producer Manufacturing","Electrical Products",18100,1930,"AME"
226.15,226.61,222.27,2574076,3419179.9,3419179.9,244.99,2.8777,586969915.763,166.68,131843800110,13.7872,17.4276,588247000,"Robert A. Bradway","Thousand Oaks","California","Health Technology","Biotechnology",23400,1980,"AMGN"
96.2,96.57,94.84,1438615,1647379.5,1647379.5,110.24,1.06394,294302090.28,63.05,28213492900,6.34129,25.6145,295894000,"Richard Adam Norwitt","Wallingford","Connecticut","Electronic Technology","Electronic Components",74000,1932,"APH"
114,114.2689,110.46,2272093,3064074.9,3064074.9,127.3,2.16254,367218039.7,79.075,40880438000,3.60716,38.4497,368425000,"Vincent T. Roche","Norwood","Massachusetts","Electronic Technology","Semiconductors",16400,1965,"ADI"
268.84,281.04,268.71,614769,492408.8,492408.8,299.06,NA,85184074.656,174.25,23634941400,6.67751,56.5384,85914000,"Ajei S. Gopal","Canonsburg","Pennsylvania","Technology Services","Packaged Software",4100,1970,"ANSS"
289.37,296.685,288.6112,1303074,1352853.9,1352853.9,312.475,1.34077,250788357.144,171.03,73459038920,2.25373,15.3415,252116000,"Gail Koziara Boudreaux","Indianapolis","Indiana","Health Services","Managed Health Care",70600,1944,"ANTM"
199.08,201.52,195.995,1071884,1636173.3,1636173.3,238.19,0.90229,228684619.548,143.93,45914676030,14.4094,28.0718,231087000,"Gregory C. Case","Dublin","Dublin","Finance","Insurance Brokers/Services",50000,NA,"AON"
47.3575,47.74,46.37,2304044,1998119.3,1998119.3,52.61,2.14142,131993115.072,33.805,7507546750.47,4.46942,22.3235,161140733,"Kevin J. Wheeler","Milwaukee","Wisconsin","Producer Manufacturing","Building Products",15100,1874,"AOS"
12.655,12.665,11.75,14620266,18391042.4,18391042.4,33.77,0.78678,375852888.432,3.8,4480046620,-3.8106,NA,377426000,"John J. Christmann","Houston","Texas","Energy Minerals","Oil & Gas Production",3163,1954,"APA"
37.6,37.6,36.62,1033867,1701484.7,1701484.7,55.68,4.36518,146418313.344,24.5301,5534763520,3.25288,27.7536,148864000,"Terry Considine","Denver","Colorado","Finance","Real Estate Investment Trusts",950,1975,"AIV"
316.7,323.43,315.63,33448953,36494168.3,36494168.3,327.85,1.03558,4329437861.46,170.27,1379403705000,17.463,24.8299,4334340000,"Timothy Donald Cook","Cupertino","California","Electronic Technology","Telecommunications Equipment",137000,1976,"AAPL"
56.5,56.68,54.35,7239060,11584812.1,11584812.1,69.44,1.59594,912785589.63,36.64,50103906930,5.60003,17.5644,916479000,"Gary E. Dickerson","Santa Clara","California","Producer Manufacturing","Industrial Machinery",22000,1967,"AMAT"
77.99,78.2,73.55,2679917,2024340.5,2024340.5,99.04,1.40083,252919062.072,29.22,18766519880,3.87997,8.34749,254876000,"Kevin P. Clark","Dublin","Dublin","Producer Manufacturing","Auto Parts: OEM",141000,1994,"APTV"
39.52,39.615,38.885,4333060,3285859.9,3285859.9,47.2,3.69231,552774069.6,28.92,21664344000,1.1421,14.3035,555496000,"Juan Ricardo Luciano","Chicago","Illinois","Process Industries","Agricultural Commodities/Milling",38100,1902,"ADM"
227.505,229.2185,222.39,612843,726760.1,726760.1,289.45,NA,53943922.8155,156.63,16876047140,5.90485,22.4825,75704500,"Jayshree V. Ullal","Santa Clara","California","Electronic Technology","Computer Communications",2300,2004,"ANET"
94.55,94.64,93.3,1130627,1407368.4,1407368.4,109.46,1.94847,187450598.034,65.09,17824374000,3.48289,26.0416,189621000,"Patrick J. Gallagher","Rolling Meadows","Illinois","Finance","Insurance Brokers/Services",33300,2016,"AJG"
106.13,106.13,103.45,396204,799473.4,799473.4,142.61,2.45065,59074627.1268,76.27,6173416527,1.14396,18.8894,59652300,"Alan B. Colberg","New York","New York","Finance","Multi-Line Insurance",14200,2004,"AIZ"
32.03,32.06,30.97,39689430,41923357,41923357,39.7,6.53061,7118309625,26.08,221302500000,1.27652,16.1217,7.125e+09,"Randall L. Stephenson","Dallas","Texas","Communications","Major Telecommunications",246000,1983,"T"
100.82,102.56,100.745,810562,1132343.6,1132343.6,121.08,2.35656,120952624.432,77.92,12436684160,1.89349,21.2905,122312000,"J. Kevin Akers","Dallas","Texas","Utilities","Gas Distributors",4776,1983,"ATO"
197.97,208.3,194.6,3582846,1519951,1519951,211.58,NA,217860567.008,125.38,44413253920,-315.1577,206.981,219184000,"Andrew Anagnost","San Rafael","California","Technology Services","Packaged Software",10100,1982,"ADSK"
145.67,146.51,143.519,2547682,3451152.4,3451152.4,182.32,2.62021,428338984.614,103.1101,62231275200,10.8744,23.8183,429774000,"Carlos A. Rodriguez","Roseland","New Jersey","Technology Services","Data Processing Services",58000,1949,"ADP"
1165.63,1170.46,1139.085,274189,326283.1,326283.1,1274.4075,NA,23238661.316,684.91,26797587600,-16.6511,17.6401,23352000,"William C. Rhodes","Memphis","Tennessee","Retail Trade","Specialty Stores",96000,1979,"AZO"
159,159.5,156.6973,1225368,1416202.5,1416202.5,229.4,4.00252,140261239.922,118.17,22380450930,2.04937,28.376,140731000,"Timothy J. Naughton","Arlington","Virginia","Finance","Real Estate Investment Trusts",3122,1978,"AVB"
114.04,114.04,112,394742,572366,572366,141.09,2.04549,82741831.712,76.96,9344978240,8.05376,16.416,83296000,"Mitchell R. Butier","Glendale","California","Process Industries","Containers/Packaging",30000,1935,"AVY"
16.6613,16.6613,16.25,5900474,5170052.4,5170052.4,25.99,4.49719,654215551.215,9.12,10736023650,0.912863,NA,655035000,"Lorenzo Simonelli","Houston","Texas","Industrial Services","Oilfield Services/Equipment",68000,1987,"BKR"
69.41,70.68,69.14,2204231,2019924.9,2019924.9,82.82,0.87464,323922107.24,51.26,22999441100,8.50116,49.1017,326002000,"John Arthur Hayes","Broomfield","Colorado","Process Industries","Containers/Packaging",18300,1880,"BLL"
26.07,26.14,24.79,84435894,88620404.3,88620404.3,35.72,2.9654,8624094227.82,17.95,215675664600,0.872251,9.9098,8675610000,"Brian T. Moynihan","Charlotte","North Carolina","Finance","Major Banks",208000,1904,"BAC"
39.1781,39.2,37.58,5393197,7008713.8,7008713.8,51.6,3.36134,883317936.8,26.4,33283802370,0.868654,7.94564,885443000,"Thomas P. Gibbons","New York","New York","Finance","Major Banks",48400,1965,"BK"
87.33,88.8,86.66,4504936,3527894.1,3527894.1,95.19,1.13373,507664150.692,69.1,44879335200,5.7079,43.9116,508836000,"José E. Almeida","Deerfield","Illinois","Health Technology","Medical Specialties",50000,1931,"BAX"
237.95,244.28,237.35,1786834,3897017.7,3897017.7,286.72,1.35541,289098147.66,197.75,68472495000,3.02458,70.2208,283530000,"Thomas E. Polen","Franklin Lakes","New Jersey","Health Technology","Medical Specialties",70093,1897,"BDX"
187.26,187.28,183.93,6315280,7021824.6,7021824.6,231.61,NA,1387660172.97,159.5,449799941250,1.06594,46.5123,2430037500,"Warren Edward Buffett","Omaha","Nebraska","Finance","Multi-Line Insurance",391500,1839,"BRK.B"
80.105,80.105,76.19,3152795,4177248.2,4177248.2,91.99,2.78199,227192321.87,48.105,19680954290,5.83028,14.5421,257503000,"Corie Sue Barry","Richfield","Minnesota","Retail Trade","Electronics/Appliance Stores",125000,1966,"BBY"
302.29,304.77,297.995,1423423,1328361.6,1328361.6,374.99,NA,162878087.009,215.775,49037693500,3.94512,9.13139,163187000,"Michel Vounatsos","Cambridge","Massachusetts","Health Technology","Biotechnology",7400,1978,"BIIB"
548.41,549.65,535.43,1132337,4399752.7,4399752.7,576.81,2.77295,152188101.672,323.98,82814012080,2.44681,19.3882,154262000,"Laurence Douglas Fink","New York","New York","Finance","Investment Managers",16200,1988,"BLK"
156.1,156.7,149.06,34847657,35570880.8,35570880.8,391,6.43797,558612338.025,89,84547171500,-8.7476,NA,564325000,"David L. Calhoun","Chicago","Illinois","Electronic Technology","Aerospace & Defense",161100,1916,"BA"
1695.59,1708,1644.02,663981,890671.5,890671.5,2094,NA,40703938.1595,1107.285,67494644791,18.6639,22.1933,40930900,"Glenn D. Fogel","Norwalk","Connecticut","Consumer Services","Other Consumer Services",26400,1997,"BKNG"
32.79,32.9,31.71,4094721,4139955.9,4139955.9,46.6,2.15736,206066347.31,17,6654651000,1.38248,9.1072,207310000,"Frederic B. Lissalde","Auburn Hills","Michigan","Producer Manufacturing","Auto Parts: OEM",29000,1928,"BWA"
90.06,90.06,86.51,1711239,2647592.7,2647592.7,147.83,4.41392,155061835.487,71.57,13635183440,2.50642,15.1388,155369000,"Owen D. Thomas","Boston","Massachusetts","Finance","Real Estate Investment Trusts",760,1970,"BXP"
37.47,37.99,37.11,8861974,14401656.7,14401656.7,46.62,NA,1395144953.25,24.1,52433644500,3.76488,12.238,1399350000,"Michael F. Mahoney","Marlborough","Massachusetts","Health Technology","Medical Specialties",36000,1979,"BSX"
60.95,60.96,59.68,14975131,19530885.4,19530885.4,68.34,2.98408,2260576647.54,42.48,135331488900,2.73458,74.5612,2262690000,"Giovanni Caforio","New York","New York","Health Technology","Pharmaceuticals: Major",30000,1933,"BMY"
285,289.3,282.43,1855289,2247880.5,2247880.5,331.58,4.6096,389387238.807,155.67,113196823740,4.62276,46.5779,399791000,"Hock E. Tan","San Jose","California","Electronic Technology","Semiconductors",19000,1961,"AVGO"
117.35,120.5,117.24,546112,883700.1,883700.1,136.99,1.84426,113984232.299,81.9,13693075420,11.152,33.0437,114817000,"Timothy C. Gokey","Lake Success","New York","Commercial Services","Miscellaneous Commercial Services",11000,1962,"BR"
65.63,66.985,65.42,789953,1221307,1221307,72.85,1.05925,302964055.9,44.68,31552458600,15.6942,36.8533,478140000,"Lawson E. Whiting","Louisville","Kentucky","Consumer Non-Durables","Beverages: Alcoholic",4700,1870,"BF.B"
